,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
,,,,,10,2,4,104,2,580,`,,,,,
 BRIDGE ,2-May,,56535,810321,10,2,6,104,2,450,50,500,,,,
,,,,,10,2,4,104,2,495,50,545,,,,
 BRIDGE TALLY ,,,56536,810323,21,2,6,104,2,450,16,,,,,
 BRIDGE MOBILE ,20-Jul,,56537,810324,21,2,6,104,2,450,33,,,,,
 BRIDGE orlando ,,,56538,810325,21,2,6,104,2,450,,,,,,
 BRIDGE Alparetta ,,,56539,810326,21,2,6,104,2,450,,,,,,
 RICHMOND ,15-Nov,,56654,83330,30,2,4,6,2,350,,,,,,
 RICHMOND ,15-Nov,,56655,83331,25,2,4,7,2,350,40,,,,,
 MILLING ,,,56552,122273,3,2,4,8,4,,,,,,,
,,,,,7,2,4,10,4,,,,,,,
,,,,,6,2,4,12,4,,,,,,,
 MILLING ,,,56553,122274,2,2,4,12,4,,,,,,,
,,,,,4,2,4,8,KW,285,,,,,,
,,,,,3,2,4,10,KW,310,,,,,,
,,,,,3,2,4,12,KW,310,,,,,,
,,,,,1,2,6,10,4,,,,,,,
,,,,,2,2,6,10,3,,,,,,,
,,,,,2,2,6,12,4,,,,,,,
 MILLING ,,,56554,122275,6,2,6,12,4,,,,,,,
,,,,,2,2,4,6,4,,,,,,,
,,,,,6,2,4,4,RD,,,,,,,
,,,,,2,2,6,4,RD,,,,,,,
 MILLING ,7-Nov,,56555,122276,20,2,4,9,4,,,,,,,
 Tampa ,,,56558,32216,23,2,6,8,3,260,,,,,,
 Baily barnes ,,,56557,steve,1,2,6,10,2p,420,,,,,,
,,,,,1,2,6,12,2p,415,,,,,,
 LOW ,7-Nov,,56559,978892,20,2,4,9,4,250,,,,,,
 MAC winter  ,,,56560,14968-c,12,2,4,128-5/8,2,430,40,470,,,,
,,,,,4,2,4,104,2,460,40,500,,,,
 UFPI  11-13 ,,,56656,21905538,20,2,4,104,2,460,,,,,,
 UFPI 11-13 ,28-Nov,,56657,21905540,20,2,4,104,2,460,,,,,,
  UFPI 11-13 ,,,56660,21905543,21,2,6,104,2,455,,,,,,
  UFPI 11-13 ,5-Jan,,56661,21905546,21,2,6,104,2,455,,,,,,
 BI ,27-Nov,,56561,67151,20,2,4,9,4,250,,,,,,
